district_id,cook_pvi,cook_pvi_string,incumbent,incumbent_party,is_open,cook_rating,source_url
VA-11,18.0,D+18,James Walkinshaw,D,False,Solid D,https://www.cookpolitical.com/races
VT-01,17.0,D+17,Becca Balint,D,False,Solid D,https://www.cookpolitical.com/races
WA-01,15.0,D+15,Suzan DelBene,D,False,Solid D,https://www.cookpolitical.com/races
WA-02,12.0,D+12,Rick Larsen,D,False,Solid D,https://www.cookpolitical.com/races
WA-03,-2.0,R+2,Marie Gluesenkamp Perez,D,False,Toss Up,https://www.cookpolitical.com/races
WA-04,-10.0,R+10,OPEN,,True,Solid R,https://www.cookpolitical.com/races
WA-05,-5.0,R+5,Michael Baumgartner,R,False,Solid R,https://www.cookpolitical.com/races
WA-06,10.0,D+10,Emily Randall,D,False,Solid D,https://www.cookpolitical.com/races
WA-07,39.0,D+39,Pramila Jayapal,D,False,Solid D,https://www.cookpolitical.com/races
WA-08,3.0,D+3,Kim Schrier,D,False,Solid D,https://www.cookpolitical.com/races
WA-09,22.0,D+22,Adam Smith,D,False,Solid D,https://www.cookpolitical.com/races
WA-10,9.0,D+9,Marilyn Strickland,D,False,Solid D,https://www.cookpolitical.com/races
WI-01,-2.0,R+2,Bryan Steil,R,False,Likely R,https://www.cookpolitical.com/races
WI-02,21.0,D+21,Mark Pocan,D,False,Solid D,https://www.cookpolitical.com/races
WI-03,-3.0,R+3,Derrick Van Orden,R,False,Toss Up,https://www.cookpolitical.com/races
WI-04,26.0,D+26,Gwen Moore,D,False,Solid D,https://www.cookpolitical.com/races
WI-05,-11.0,R+11,Scott Fitzgerald,R,False,Solid R,https://www.cookpolitical.com/races
WI-06,-8.0,R+8,Glenn Grothman,R,False,Solid R,https://www.cookpolitical.com/races
WI-07,-11.0,R+11,OPEN,,True,Solid R,https://www.cookpolitical.com/races
WI-08,-8.0,R+8,Tony Wied,R,False,Solid R,https://www.cookpolitical.com/races
WV-01,-22.0,R+22,Carol Miller,R,False,Solid R,https://www.cookpolitical.com/races
WV-02,-20.0,R+20,Riley Moore,R,False,Solid R,https://www.cookpolitical.com/races
WY-01,-23.0,R+23,OPEN,,True,Solid R,https://www.cookpolitical.com/races
