district_id,cook_pvi,cook_pvi_string,incumbent,incumbent_party,is_open,cook_rating,source_url
MI-06,12.0,D+12,Debbie Dingell,D,False,Solid D,https://www.cookpolitical.com/races
MI-07,-0.0,EVEN,Tom Barrett,R,False,Toss Up,https://www.cookpolitical.com/races
MI-08,-1.0,R+1,Kristen McDonald Rivet,D,False,Lean D,https://www.cookpolitical.com/races
MI-09,-16.0,R+16,Lisa McClain,R,False,Solid R,https://www.cookpolitical.com/races
MI-10,-3.0,R+3,OPEN,,True,Lean R,https://www.cookpolitical.com/races
MI-11,9.0,D+9,OPEN,,True,Solid D,https://www.cookpolitical.com/races
MI-12,21.0,D+21,Rashida Tlaib,D,False,Solid D,https://www.cookpolitical.com/races
MI-13,22.0,D+22,OPEN,,True,Solid D,https://www.cookpolitical.com/races
MN-01,-6.0,R+6,Brad Finstad,R,False,Likely R,https://www.cookpolitical.com/races
MN-02,3.0,D+3,OPEN,,True,Likely D,https://www.cookpolitical.com/races
MN-03,11.0,D+11,Kelly Morrison,D,False,Solid D,https://www.cookpolitical.com/races
MN-04,18.0,D+18,Betty McCollum,D,False,Solid D,https://www.cookpolitical.com/races
MN-05,32.0,D+32,Ilhan Omar,D,False,Solid D,https://www.cookpolitical.com/races
MN-06,-10.0,R+10,Tom Emmer,R,False,Solid R,https://www.cookpolitical.com/races
MN-07,-18.0,R+18,Michelle Fischbach,R,False,Solid R,https://www.cookpolitical.com/races
MN-08,-7.0,R+7,Pete Stauber,R,False,Solid R,https://www.cookpolitical.com/races
MO-01,29.0,D+29,Wesley Bell,D,False,Solid D,https://www.cookpolitical.com/races
MO-02,-6.0,R+6,Ann Wagner,R,False,Solid R,https://www.cookpolitical.com/races
MO-03,-10.0,R+10,Bob Onder,R,False,Solid R,https://www.cookpolitical.com/races
MO-04,-10.0,R+10,Mark Alford,R,False,Solid R,https://www.cookpolitical.com/races
MO-05,-9.0,R+9,Emanuel Cleaver,D,False,Solid R,https://www.cookpolitical.com/races
MO-06,-13.0,R+13,OPEN,,True,Solid R,https://www.cookpolitical.com/races
MO-07,-21.0,R+21,Eric Burlison,R,False,Solid R,https://www.cookpolitical.com/races
MO-08,-27.0,R+27,Jason Smith,R,False,Solid R,https://www.cookpolitical.com/races
MS-01,-18.0,R+18,Trent Kelly,R,False,Solid R,https://www.cookpolitical.com/races
MS-02,11.0,D+11,Bennie Thompson,D,False,Solid D,https://www.cookpolitical.com/races
MS-03,-14.0,R+14,Michael Guest,R,False,Solid R,https://www.cookpolitical.com/races
MS-04,-21.0,R+21,Mike Ezell,R,False,Solid R,https://www.cookpolitical.com/races
MT-01,-5.0,R+5,OPEN,,True,Likely R,https://www.cookpolitical.com/races
MT-02,-15.0,R+15,Troy Downing,R,False,Solid R,https://www.cookpolitical.com/races
NC-01,-5.0,R+5,Don Davis,D,False,Lean R,https://www.cookpolitical.com/races
NC-02,17.0,D+17,Deborah Ross,D,False,Solid D,https://www.cookpolitical.com/races
NC-03,-6.0,R+6,Greg Murphy,R,False,Solid R,https://www.cookpolitical.com/races
NC-04,23.0,D+23,Valerie Foushee,D,False,Solid D,https://www.cookpolitical.com/races
NC-05,-9.0,R+9,Virginia Foxx,R,False,Solid R,https://www.cookpolitical.com/races
NC-06,-9.0,R+9,Addison McDowell,R,False,Solid R,https://www.cookpolitical.com/races
NC-07,-7.0,R+7,David Rouzer,R,False,Solid R,https://www.cookpolitical.com/races
NC-08,-10.0,R+10,Mark Harris,R,False,Solid R,https://www.cookpolitical.com/races
NC-09,-8.0,R+8,Richard Hudson,R,False,Solid R,https://www.cookpolitical.com/races
NC-10,-9.0,R+9,Pat Harrigan,R,False,Solid R,https://www.cookpolitical.com/races
NC-11,-5.0,R+5,OPEN,,True,Lean R,https://www.cookpolitical.com/races
NC-12,24.0,D+24,Alma Adams,D,False,Solid D,https://www.cookpolitical.com/races
NC-13,-8.0,R+8,Brad Knott,R,False,Solid R,https://www.cookpolitical.com/races
NC-14,-8.0,R+8,Tim Moore,R,False,Solid R,https://www.cookpolitical.com/races
ND-01,-18.0,R+18,Julie Fedorchak,R,False,Solid R,https://www.cookpolitical.com/races
NE-01,-6.0,R+6,Mike Flood,R,False,Solid R,https://www.cookpolitical.com/races
NE-02,3.0,D+3,OPEN,,True,Lean D,https://www.cookpolitical.com/races
NE-03,-27.0,R+27,Adrian Smith,R,False,Solid R,https://www.cookpolitical.com/races
NH-01,2.0,D+2,OPEN,,True,Likely D,https://www.cookpolitical.com/races
NH-02,2.0,D+2,Maggie Goodlander,D,False,Solid D,https://www.cookpolitical.com/races
NJ-01,10.0,D+10,Donald Norcross,D,False,Solid D,https://www.cookpolitical.com/races
NJ-02,-5.0,R+5,Jeff Van Drew,R,False,Solid R,https://www.cookpolitical.com/races
NJ-03,5.0,D+5,Herb Conaway,D,False,Solid D,https://www.cookpolitical.com/races
NJ-04,-14.0,R+14,Chris Smith,R,False,Solid R,https://www.cookpolitical.com/races
NJ-05,2.0,D+2,Josh Gottheimer,D,False,Solid D,https://www.cookpolitical.com/races
NJ-06,5.0,D+5,Frank Pallone,D,False,Solid D,https://www.cookpolitical.com/races
NJ-07,-0.0,EVEN,Thomas Kean Jr.,R,False,Toss Up,https://www.cookpolitical.com/races
NJ-08,15.0,D+15,Rob Menendez,D,False,Solid D,https://www.cookpolitical.com/races
NJ-09,2.0,D+2,Nellie Pou,D,False,Likely D,https://www.cookpolitical.com/races
NJ-10,27.0,D+27,LaMonica McIver,D,False,Solid D,https://www.cookpolitical.com/races
NJ-11,5.0,D+5,Analilia Mejia,D,False,Solid D,https://www.cookpolitical.com/races
NJ-12,13.0,D+13,OPEN,,True,Solid D,https://www.cookpolitical.com/races
NM-01,7.0,D+7,Melanie Stansbury,D,False,Solid D,https://www.cookpolitical.com/races
NM-02,-0.0,EVEN,Gabe Vasquez,D,False,Lean D,https://www.cookpolitical.com/races
NM-03,3.0,D+3,Teresa Leger Fernandez,D,False,Solid D,https://www.cookpolitical.com/races
NV-01,2.0,D+2,Dina Titus,D,False,Likely D,https://www.cookpolitical.com/races
NV-02,-7.0,R+7,OPEN,,True,Solid R,https://www.cookpolitical.com/races
NV-03,1.0,D+1,Susie Lee,D,False,Lean D,https://www.cookpolitical.com/races
NV-04,2.0,D+2,Steven Horsford,D,False,Likely D,https://www.cookpolitical.com/races
NY-01,-4.0,R+4,Nick LaLota,R,False,Solid R,https://www.cookpolitical.com/races
NY-02,-6.0,R+6,Andrew Garbarino,R,False,Solid R,https://www.cookpolitical.com/races
NY-03,-0.0,EVEN,Tom Suozzi,D,False,Lean D,https://www.cookpolitical.com/races
NY-04,2.0,D+2,Laura Gillen,D,False,Lean D,https://www.cookpolitical.com/races
NY-05,24.0,D+24,Gregory Meeks,D,False,Solid D,https://www.cookpolitical.com/races
NY-06,6.0,D+6,Grace Meng,D,False,Solid D,https://www.cookpolitical.com/races
NY-07,25.0,D+25,OPEN,,True,Solid D,https://www.cookpolitical.com/races
NY-08,24.0,D+24,Hakeem Jeffries,D,False,Solid D,https://www.cookpolitical.com/races
NY-09,22.0,D+22,Yvette Clarke,D,False,Solid D,https://www.cookpolitical.com/races
NY-10,32.0,D+32,OPEN,,True,Solid D,https://www.cookpolitical.com/races
NY-11,-10.0,R+10,Nicole Malliotakis,R,False,Solid R,https://www.cookpolitical.com/races
NY-12,33.0,D+33,OPEN,,True,Solid D,https://www.cookpolitical.com/races
NY-13,32.0,D+32,OPEN,,True,Solid D,https://www.cookpolitical.com/races
NY-14,19.0,D+19,Alexandria Ocasio-Cortez,D,False,Solid D,https://www.cookpolitical.com/races
NY-15,27.0,D+27,Ritchie Torres,D,False,Solid D,https://www.cookpolitical.com/races
NY-16,18.0,D+18,George Latimer,D,False,Solid D,https://www.cookpolitical.com/races
NY-17,1.0,D+1,Mike Lawler,R,False,Toss Up,https://www.cookpolitical.com/races
NY-18,2.0,D+2,Pat Ryan,D,False,Solid D,https://www.cookpolitical.com/races
NY-19,1.0,D+1,Josh Riley,D,False,Likely D,https://www.cookpolitical.com/races
NY-20,8.0,D+8,Paul Tonko,D,False,Solid D,https://www.cookpolitical.com/races
NY-21,-10.0,R+10,OPEN,,True,Solid R,https://www.cookpolitical.com/races
NY-22,4.0,D+4,John Mannion,D,False,Solid D,https://www.cookpolitical.com/races
NY-23,-10.0,R+10,Nick Langworthy,R,False,Solid R,https://www.cookpolitical.com/races
NY-24,-11.0,R+11,Claudia Tenney,R,False,Solid R,https://www.cookpolitical.com/races
NY-25,10.0,D+10,Joseph Morelle,D,False,Solid D,https://www.cookpolitical.com/races
NY-26,11.0,D+11,Tim Kennedy,D,False,Solid D,https://www.cookpolitical.com/races
OH-01,-1.0,R+1,Greg Landsman,D,False,Lean D,https://www.cookpolitical.com/races
OH-02,-21.0,R+21,David Taylor,R,False,Solid R,https://www.cookpolitical.com/races
OH-03,21.0,D+21,Joyce Beatty,D,False,Solid D,https://www.cookpolitical.com/races
OH-04,-21.0,R+21,Jim Jordan,R,False,Solid R,https://www.cookpolitical.com/races
OH-05,-12.0,R+12,Bob Latta,R,False,Solid R,https://www.cookpolitical.com/races
OH-06,-17.0,R+17,Michael Rulli,R,False,Solid R,https://www.cookpolitical.com/races
OH-07,-5.0,R+5,Max Miller,R,False,Toss Up,https://www.cookpolitical.com/races
OH-08,-8.0,R+8,Warren Davidson,R,False,Solid R,https://www.cookpolitical.com/races
OH-09,-5.0,R+5,Marcy Kaptur,D,False,Toss Up,https://www.cookpolitical.com/races
OH-10,-4.0,R+4,Mike Turner,R,False,Solid R,https://www.cookpolitical.com/races
OH-11,28.0,D+28,Shontel Brown,D,False,Solid D,https://www.cookpolitical.com/races
OH-12,-15.0,R+15,Troy Balderson,R,False,Solid R,https://www.cookpolitical.com/races
OH-13,2.0,D+2,Emilia Sykes,D,False,Likely D,https://www.cookpolitical.com/races
OH-14,-10.0,R+10,David Joyce,R,False,Solid R,https://www.cookpolitical.com/races
OH-15,-5.0,R+5,Mike Carey,R,False,Solid R,https://www.cookpolitical.com/races
OK-01,-11.0,R+11,OPEN,,True,Solid R,https://www.cookpolitical.com/races
OK-02,-28.0,R+28,Josh Brecheen,R,False,Solid R,https://www.cookpolitical.com/races
OK-03,-23.0,R+23,Frank Lucas,R,False,Solid R,https://www.cookpolitical.com/races
OK-04,-17.0,R+17,Tom Cole,R,False,Solid R,https://www.cookpolitical.com/races
OK-05,-9.0,R+9,Stephanie Bice,R,False,Solid R,https://www.cookpolitical.com/races
OR-01,20.0,D+20,Suzanne Bonamici,D,False,Solid D,https://www.cookpolitical.com/races
OR-02,-14.0,R+14,Cliff Bentz,R,False,Solid R,https://www.cookpolitical.com/races
OR-03,24.0,D+24,Maxine Dexter,D,False,Solid D,https://www.cookpolitical.com/races
OR-04,6.0,D+6,Val Hoyle,D,False,Solid D,https://www.cookpolitical.com/races
OR-05,4.0,D+4,Janelle Bynum,D,False,Solid D,https://www.cookpolitical.com/races
OR-06,6.0,D+6,Andrea Salinas,D,False,Solid D,https://www.cookpolitical.com/races
PA-01,1.0,D+1,Brian Fitzpatrick,R,False,Likely R,https://www.cookpolitical.com/races
PA-02,19.0,D+19,Brendan Boyle,D,False,Solid D,https://www.cookpolitical.com/races
PA-03,40.0,D+40,OPEN,,True,Solid D,https://www.cookpolitical.com/races
PA-04,8.0,D+8,Madeleine Dean,D,False,Solid D,https://www.cookpolitical.com/races
PA-05,15.0,D+15,Mary Gay Scanlon,D,False,Solid D,https://www.cookpolitical.com/races
PA-06,6.0,D+6,Chrissy Houlahan,D,False,Solid D,https://www.cookpolitical.com/races
PA-07,-1.0,R+1,Ryan Mackenzie,R,False,Toss Up,https://www.cookpolitical.com/races
PA-08,-4.0,R+4,Rob Bresnahan,R,False,Toss Up,https://www.cookpolitical.com/races
PA-09,-19.0,R+19,Dan Meuser,R,False,Solid R,https://www.cookpolitical.com/races
PA-10,-3.0,R+3,Scott Perry,R,False,Toss Up,https://www.cookpolitical.com/races
PA-11,-11.0,R+11,Lloyd Smucker,R,False,Solid R,https://www.cookpolitical.com/races
PA-12,10.0,D+10,Summer Lee,D,False,Solid D,https://www.cookpolitical.com/races
PA-13,-23.0,R+23,John Joyce,R,False,Solid R,https://www.cookpolitical.com/races
PA-14,-17.0,R+17,Guy Reschenthaler,R,False,Solid R,https://www.cookpolitical.com/races
PA-15,-19.0,R+19,Glenn Thompson,R,False,Solid R,https://www.cookpolitical.com/races
PA-16,-11.0,R+11,Mike Kelly,R,False,Solid R,https://www.cookpolitical.com/races
PA-17,3.0,D+3,Chris Deluzio,D,False,Solid D,https://www.cookpolitical.com/races
RI-01,12.0,D+12,Gabe Amo,D,False,Solid D,https://www.cookpolitical.com/races
