district_id_raw,partisan_lean_538,district_id,pvi_string,pvi_numeric
GA-7,16.06375,GA-07,D+16.1,16.06
GA-8,-34.56982,GA-08,R+34.6,-34.57
GA-9,-46.10865,GA-09,R+46.1,-46.11
GA-10,-31.15672,GA-10,R+31.2,-31.16
GA-11,-24.05728,GA-11,R+24.1,-24.06
GA-12,-16.87351,GA-12,R+16.9,-16.87
GA-13,52.45722,GA-13,D+52.5,52.46
GA-14,-45.16958,GA-14,R+45.2,-45.17
HI-1,31.94248,HI-01,D+31.9,31.94
HI-2,31.68955,HI-02,D+31.7,31.69
IA-1,-3.941143,IA-01,R+3.9,-3.94
IA-2,-5.458609,IA-02,R+5.5,-5.46
IA-3,-2.251076,IA-03,R+2.3,-2.25
IA-4,-27.31831,IA-04,R+27.3,-27.32
ID-1,-45.50601,ID-01,R+45.5,-45.51
ID-2,-26.67605,ID-02,R+26.7,-26.68
IL-1,40.62955,IL-01,D+40.6,40.63
IL-2,36.84659,IL-02,D+36.8,36.85
IL-3,38.57446,IL-03,D+38.6,38.57
IL-4,43.97005,IL-04,D+44.0,43.97
IL-5,35.36106,IL-05,D+35.4,35.36
IL-6,6.162658,IL-06,D+6.2,6.16
IL-7,70.00192,IL-07,D+70.0,70.0
IL-8,11.67969,IL-08,D+11.7,11.68
IL-9,37.83539,IL-09,D+37.8,37.84
IL-10,20.95613,IL-10,D+21.0,20.96
IL-11,9.961191,IL-11,D+10.0,9.96
IL-12,-46.41387,IL-12,R+46.4,-46.41
IL-13,6.505558,IL-13,D+6.5,6.51
IL-14,6.49219,IL-14,D+6.5,6.49
IL-15,-42.4285,IL-15,R+42.4,-42.43
IL-16,-25.93611,IL-16,R+25.9,-25.94
IL-17,3.546824,IL-17,D+3.5,3.55
IN-1,6.346558,IN-01,D+6.3,6.35
IN-2,-26.09934,IN-02,R+26.1,-26.1
IN-3,-34.17117,IN-03,R+34.2,-34.17
IN-4,-33.35265,IN-04,R+33.4,-33.35
IN-5,-21.72354,IN-05,R+21.7,-21.72
IN-6,-36.74424,IN-06,R+36.7,-36.74
IN-7,36.96736,IN-07,D+37.0,36.97
IN-8,-35.82268,IN-08,R+35.8,-35.82
IN-9,-30.11917,IN-09,R+30.1,-30.12
KS-1,-34.44489,KS-01,R+34.4,-34.44
KS-2,-20.91362,KS-02,R+20.9,-20.91
KS-3,-3.199989,KS-03,R+3.2,-3.2
KS-4,-27.53099,KS-04,R+27.5,-27.53
KY-1,-43.40771,KY-01,R+43.4,-43.41
KY-2,-37.63331,KY-02,R+37.6,-37.63
KY-3,20.47426,KY-03,D+20.5,20.47
KY-4,-33.69741,KY-04,R+33.7,-33.7
KY-5,-59.78954,KY-05,R+59.8,-59.79
KY-6,-13.11894,KY-06,R+13.1,-13.12
LA-1,-40.22432,LA-01,R+40.2,-40.22
LA-2,55.67659,LA-02,D+55.7,55.68
LA-3,-42.79865,LA-03,R+42.8,-42.8
LA-4,-33.83772,LA-04,R+33.8,-33.84
LA-5,-34.14235,LA-05,R+34.1,-34.14
LA-6,-22.77275,LA-06,R+22.8,-22.77
MA-1,21.63849,MA-01,D+21.6,21.64
MA-2,29.77662,MA-02,D+29.8,29.78
MA-3,26.28056,MA-03,D+26.3,26.28
MA-4,27.75373,MA-04,D+27.8,27.75
MA-5,49.79446,MA-05,D+49.8,49.79
MA-6,26.04362,MA-06,D+26.0,26.04
MA-7,73.41786,MA-07,D+73.4,73.42
MA-8,34.05433,MA-08,D+34.1,34.05
MA-9,16.72963,MA-09,D+16.7,16.73
MD-1,-25.06874,MD-01,R+25.1,-25.07
MD-2,10.99566,MD-02,D+11.0,11.0
MD-3,14.18876,MD-03,D+14.2,14.19
MD-4,74.8873,MD-04,D+74.9,74.89
MD-5,27.6208,MD-05,D+27.6,27.62
MD-6,-0.9533374,MD-06,R+1.0,-0.95
MD-7,54.88766,MD-07,D+54.9,54.89
MD-8,52.80023,MD-08,D+52.8,52.8
ME-1,16.01526,ME-01,D+16.0,16.02
ME-2,-10.29927,ME-02,R+10.3,-10.3
MI-1,-23.75547,MI-01,R+23.8,-23.76
MI-2,-31.02191,MI-02,R+31.0,-31.02
MI-3,2.744693,MI-03,D+2.7,2.74
MI-4,-8.712607,MI-04,R+8.7,-8.71
MI-5,-27.44294,MI-05,R+27.4,-27.44
MI-6,21.13806,MI-06,D+21.1,21.14
MI-7,-3.487974,MI-07,R+3.5,-3.49
MI-8,-1.201374,MI-08,R+1.2,-1.2
MI-9,-33.46297,MI-09,R+33.5,-33.46
MI-10,-5.404607,MI-10,R+5.4,-5.4
MI-11,14.86063,MI-11,D+14.9,14.86
MI-12,43.95626,MI-12,D+44.0,43.96
MI-13,45.90776,MI-13,D+45.9,45.91
MN-1,-13.93831,MN-01,R+13.9,-13.94
MN-2,1.158694,MN-02,D+1.2,1.16
MN-3,14.35376,MN-03,D+14.4,14.35
MN-4,32.09563,MN-04,D+32.1,32.1
MN-5,57.11019,MN-05,D+57.1,57.11
MN-6,-22.85337,MN-06,R+22.9,-22.85
MN-7,-36.62228,MN-07,R+36.6,-36.62
MN-8,-14.93217,MN-08,R+14.9,-14.93
MO-1,52.22362,MO-01,D+52.2,52.22
MO-2,-15.00905,MO-02,R+15.0,-15.01
MO-3,-32.49918,MO-03,R+32.5,-32.5
MO-4,-44.84298,MO-04,R+44.8,-44.84
MO-5,19.79319,MO-05,D+19.8,19.79
MO-6,-42.23775,MO-06,R+42.2,-42.24
MO-7,-47.12061,MO-07,R+47.1,-47.12
MO-8,-55.91422,MO-08,R+55.9,-55.91
MS-1,-34.88673,MS-01,R+34.9,-34.89
MS-2,23.13287,MS-02,D+23.1,23.13
MS-3,-28.1043,MS-03,R+28.1,-28.1
MS-4,-41.94463,MS-04,R+41.9,-41.94
MT-1,-9.988488,MT-01,R+10.0,-9.99
MT-2,-29.68839,MT-02,R+29.7,-29.69
NC-1,5.35866,NC-01,D+5.4,5.36
NC-2,23.77732,NC-02,D+23.8,23.78
NC-3,-28.28144,NC-03,R+28.3,-28.28
NC-4,30.43603,NC-04,D+30.4,30.44
NC-5,-23.77597,NC-05,R+23.8,-23.78
NC-6,9.195594,NC-06,D+9.2,9.2
NC-7,-15.33564,NC-07,R+15.3,-15.34
NC-8,-37.57974,NC-08,R+37.6,-37.58
NC-9,-10.55237,NC-09,R+10.6,-10.55
NC-10,-42.30114,NC-10,R+42.3,-42.3
NC-11,-14.19994,NC-11,R+14.2,-14.2
NC-12,25.35399,NC-12,D+25.4,25.35
NC-13,-2.271673,NC-13,R+2.3,-2.27
NC-14,11.45646,NC-14,D+11.5,11.46
ND-1,-37.06978,ND-01,R+37.1,-37.07
NE-1,-16.99171,NE-01,R+17.0,-16.99
NE-2,-2.553308,NE-02,R+2.6,-2.55
NE-3,-56.56481,NE-03,R+56.6,-56.56
NH-1,-1.061432,NH-01,R+1.1,-1.06
NH-2,2.242335,NH-02,D+2.2,2.24
NJ-1,19.31425,NJ-01,D+19.3,19.31
NJ-2,-9.870381,NJ-02,R+9.9,-9.87
NJ-3,8.208885,NJ-03,D+8.2,8.21
NJ-4,-28.64708,NJ-04,R+28.6,-28.65
NJ-5,6.075619,NJ-05,D+6.1,6.08
NJ-6,14.54368,NJ-06,D+14.5,14.54
NJ-7,-3.991048,NJ-07,R+4.0,-3.99
NJ-8,45.80719,NJ-08,D+45.8,45.81
NJ-9,16.24119,NJ-09,D+16.2,16.24
NJ-10,57.45015,NJ-10,D+57.5,57.45
NJ-11,10.15989,NJ-11,D+10.2,10.16
NJ-12,29.25628,NJ-12,D+29.3,29.26
NM-1,11.53571,NM-01,D+11.5,11.54
NM-2,3.89851,NM-02,D+3.9,3.9
NM-3,4.77611,NM-03,D+4.8,4.78
NV-1,4.010317,NV-01,D+4.0,4.01
NV-2,-13.49788,NV-02,R+13.5,-13.5
NV-3,1.756517,NV-03,D+1.8,1.76
NV-4,5.27305,NV-04,D+5.3,5.27
NY-1,-5.411073,NY-01,R+5.4,-5.41
NY-2,-6.004039,NY-02,R+6.0,-6.0
NY-3,3.998761,NY-03,D+4.0,4.0
NY-4,10.45113,NY-04,D+10.5,10.45
NY-5,61.72219,NY-05,D+61.7,61.72
NY-6,30.65913,NY-06,D+30.7,30.66
NY-7,62.81329,NY-07,D+62.8,62.81
NY-8,52.5668,NY-08,D+52.6,52.57
NY-9,51.08659,NY-09,D+51.1,51.09
NY-10,69.12236,NY-10,D+69.1,69.12
NY-11,-10.69397,NY-11,R+10.7,-10.69
NY-12,67.81519,NY-12,D+67.8,67.82
NY-13,77.10876,NY-13,D+77.1,77.11
NY-14,56.82389,NY-14,D+56.8,56.82
NY-15,70.77099,NY-15,D+70.8,70.77
NY-16,40.4464,NY-16,D+40.4,40.45
NY-17,6.631194,NY-17,D+6.6,6.63
NY-18,2.797194,NY-18,D+2.8,2.8
NY-19,-0.9979393,NY-19,R+1.0,-1.0
NY-20,13.70726,NY-20,D+13.7,13.71
NY-21,-16.49541,NY-21,R+16.5,-16.5
NY-22,2.205094,NY-22,D+2.2,2.21
NY-23,-22.87477,NY-23,R+22.9,-22.87
NY-24,-21.65131,NY-24,R+21.7,-21.65
NY-25,13.41073,NY-25,D+13.4,13.41
NY-26,17.82643,NY-26,D+17.8,17.83
OH-1,3.195959,OH-01,D+3.2,3.2
OH-2,-48.46798,OH-02,R+48.5,-48.47
OH-3,38.02156,OH-03,D+38.0,38.02
OH-4,-40.22367,OH-04,R+40.2,-40.22
OH-5,-29.85058,OH-05,R+29.9,-29.85
OH-6,-31.06064,OH-06,R+31.1,-31.06
OH-7,-13.98634,OH-07,R+14.0,-13.99
OH-8,-27.11651,OH-08,R+27.1,-27.12
OH-9,-6.153574,OH-09,R+6.2,-6.15
OH-10,-8.405874,OH-10,R+8.4,-8.41
OH-11,54.52639,OH-11,D+54.5,54.53
OH-12,-34.24341,OH-12,R+34.2,-34.24
OH-13,-1.824775,OH-13,R+1.8,-1.82
OH-14,-18.53361,OH-14,R+18.5,-18.53
