district_id_raw,pvi_string,district_id,pvi_numeric
IL-7,D+73.33,IL-07,73.33
IL-8,D+16.03,IL-08,16.03
IL-9,D+36.77,IL-09,36.77
IN-1,D+14.48,IN-01,14.48
IN-2,R+21.99,IN-02,-21.99
IN-3,R+34.12,IN-03,-34.12
IN-4,R+32.59,IN-04,-32.59
IN-5,R+15.32,IN-05,-15.32
IN-6,R+36.42,IN-06,-36.42
IN-7,D+22.54,IN-07,22.54
IN-8,R+30.59,IN-08,-30.59
IN-9,R+25.29,IN-09,-25.29
KS-1,R+46.55,KS-01,-46.55
KS-2,R+19.05,KS-02,-19.05
KS-3,R+4.75,KS-03,-4.75
KS-4,R+29.02,KS-04,-29.02
KY-1,R+39.53,KY-01,-39.53
KY-2,R+31.76,KY-02,-31.76
KY-3,D+18.54,KY-03,18.54
KY-4,R+29.23,KY-04,-29.23
KY-5,R+54.43,KY-05,-54.43
KY-6,R+10.5,KY-06,-10.5
LA-1,R+41.19,LA-01,-41.19
LA-2,D+54.08,LA-02,54.08
LA-3,R+35.19,LA-03,-35.19
LA-4,R+20.96,LA-04,-20.96
LA-5,R+25.89,LA-05,-25.89
LA-6,R+32.42,LA-06,-32.42
MA-1,D+27.23,MA-01,27.23
MA-2,D+22.96,MA-02,22.96
MA-3,D+23.9,MA-03,23.9
MA-4,D+24.96,MA-04,24.96
MA-5,D+43.3,MA-05,43.3
MA-6,D+19.06,MA-06,19.06
MA-7,D+73.96,MA-07,73.96
MA-8,D+26.53,MA-08,26.53
MA-9,D+14.8,MA-09,14.8
MD-1,R+30.39,MD-01,-30.39
MD-2,D+21.88,MD-02,21.88
MD-3,D+24.44,MD-03,24.44
MD-4,D+53.68,MD-04,53.68
MD-5,D+28.81,MD-05,28.81
MD-6,D+10.44,MD-06,10.44
MD-7,D+51.28,MD-07,51.28
MD-8,D+27.84,MD-08,27.84
ME-1,D+14.87,ME-01,14.87
ME-2,R+6.13,ME-02,-6.13
MI-1,R+18.64,MI-01,-18.64
MI-10,R+27.01,MI-10,-27.01
MI-11,R+6.41,MI-11,-6.41
MI-12,D+26.99,MI-12,26.99
MI-13,D+62.42,MI-13,62.42
MI-14,D+59.72,MI-14,59.72
MI-2,R+17.71,MI-02,-17.71
MI-3,R+10.38,MI-03,-10.38
MI-4,R+20.88,MI-04,-20.88
MI-5,D+8.59,MI-05,8.59
MI-6,R+7.74,MI-06,-7.74
MI-7,R+14.04,MI-07,-14.04
MI-8,R+7.18,MI-08,-7.18
MI-9,D+8.62,MI-09,8.62
MN-1,R+10.99,MN-01,-10.99
MN-2,R+2.29,MN-02,-2.29
MN-3,D+5.01,MN-03,5.01
MN-4,D+28.08,MN-04,28.08
MN-5,D+51.78,MN-05,51.78
MN-6,R+23.65,MN-06,-23.65
MN-7,R+25.32,MN-07,-25.32
MN-8,R+10.09,MN-08,-10.09
MO-1,D+55.63,MO-01,55.63
MO-2,R+15.61,MO-02,-15.61
MO-3,R+38.14,MO-03,-38.14
MO-4,R+35.77,MO-04,-35.77
MO-5,D+11.99,MO-05,11.99
MO-6,R+31.81,MO-06,-31.81
MO-7,R+46.41,MO-07,-46.41
MO-8,R+51.07,MO-08,-51.07
MS-1,R+29.99,MS-01,-29.99
MS-2,D+30.44,MS-02,30.44
MS-3,R+22.99,MS-03,-22.99
MS-4,R+39.29,MS-04,-39.29
MT-1,R+17.95,MT-01,-17.95
NC-1,D+35,NC-01,35.0
NC-10,R+24.4,NC-10,-24.4
NC-11,R+28.26,NC-11,-28.26
NC-12,D+36.87,NC-12,36.87
NC-13,R+10.5,NC-13,-10.5
NC-2,R+12.7,NC-02,-12.7
NC-3,R+23.66,NC-03,-23.66
NC-4,D+34.8,NC-04,34.8
NC-5,R+18.43,NC-05,-18.43
NC-6,R+16,NC-06,-16.0
NC-7,R+18,NC-07,-18.0
NC-8,R+15.4,NC-08,-15.4
NC-9,R+13.56,NC-09,-13.56
ND-1,R+33.68,ND-01,-33.68
NE-1,R+19.83,NE-01,-19.83
NE-2,R+3.9,NE-02,-3.9
NE-3,R+50.8,NE-03,-50.8
NH-1,R+4.37,NH-01,-4.37
NH-2,D+1,NH-02,1.0
NJ-1,D+24.81,NJ-01,24.81
NJ-10,D+71.78,NJ-10,71.78
NJ-11,R+4.49,NJ-11,-4.49
NJ-12,D+31.54,NJ-12,31.54
NJ-2,R+2.32,NJ-02,-2.32
NJ-3,R+4.56,NJ-03,-4.56
NJ-4,R+14.99,NJ-04,-14.99
NJ-5,R+3.69,NJ-05,-3.69
NJ-6,D+16.44,NJ-06,16.44
NJ-7,R+3.29,NJ-07,-3.29
NJ-8,D+53.34,NJ-08,53.34
NJ-9,D+31.38,NJ-09,31.38
NM-1,D+14.53,NM-01,14.53
NM-2,R+10.77,NM-02,-10.77
NM-3,D+14.63,NM-03,14.63
NV-1,D+25.27,NV-01,25.27
NV-2,R+16.03,NV-02,-16.03
NV-3,R+5.53,NV-03,-5.53
NV-4,D+1.7,NV-04,1.7
