district_id,dem_votes,rep_votes,other_votes,total_votes,dem_pct,rep_pct,margin,winner_party
CT-03,137924,98704,6023,242651,58.29,41.71,16.58,D
CT-04,140262,93329,2493,236084,60.05,39.95,20.099999999999994,D
CT-05,123818,123342,6512,253672,50.1,49.9,0.20000000000000284,D
DE-01,178416,138201,5032,321649,56.35,43.65,12.700000000000003,D
FL-01,93467,197349,0,290816,32.14,67.86,-35.72,R
FL-02,121153,180236,0,301389,40.2,59.8,-19.599999999999994,R
FL-03,103382,178101,3410,284893,36.73,63.27,-26.540000000000006,R
FL-04,108402,165696,5,274103,39.55,60.45,-20.900000000000006,R
FL-05,0,1,0,1,0.0,100.0,-100.0,R
FL-06,0,226548,74207,300755,0.0,100.0,-100.0,R
FL-07,126079,177966,10,304055,41.47,58.53,-17.060000000000002,R
FL-08,120080,222128,0,342208,35.09,64.91,-29.819999999999993,R
FL-09,108541,93827,0,202368,53.64,46.36,7.280000000000001,D
FL-10,117955,78844,3111,199910,59.94,40.06,19.879999999999995,D
FL-11,115647,205995,4967,326609,35.96,64.04,-28.080000000000005,R
FL-12,95390,226601,4,321995,29.63,70.37,-40.74000000000001,R
FL-13,153876,181487,6183,341546,45.88,54.12,-8.239999999999995,R
FL-14,149737,113427,0,263164,56.9,43.1,13.799999999999997,D
FL-15,102835,145219,0,248054,41.46,58.54,-17.08,R
FL-16,115575,189762,21,305358,37.85,62.15,-24.299999999999997,R
FL-17,123798,222483,2225,348506,35.75,64.25,-28.5,R
FL-18,0,167429,56805,224234,0.0,100.0,-100.0,R
FL-19,100226,213035,13,313274,31.99,68.01,-36.02000000000001,R
FL-20,136215,52151,0,188366,72.31,27.69,44.620000000000005,D
FL-21,119891,208614,0,328505,36.5,63.5,-27.0,R
FL-22,150010,122194,0,272204,55.11,44.89,10.219999999999999,D
FL-23,143951,130681,4417,279049,52.42,47.58,4.840000000000003,D
FL-24,133442,52449,0,185891,71.79,28.21,43.580000000000005,D
FL-25,129113,105239,0,234352,55.09,44.91,10.180000000000007,D
FL-26,58868,143240,0,202108,29.13,70.87,-41.74000000000001,R
FL-27,101404,136038,0,237442,42.71,57.29,-14.579999999999998,R
FL-28,76665,134457,28,211150,36.31,63.69,-27.379999999999995,R
GA-01,107837,156128,0,263965,40.85,59.15,-18.299999999999997,R
GA-02,132675,108665,0,241340,54.97,45.03,9.939999999999998,D
GA-03,97057,213524,0,310581,31.25,68.75,-37.5,R
GA-04,216332,59302,0,275634,78.49,21.51,56.97999999999999,D
